id_mrp	order	kode	color	width	qty_gross	supplier	tipe	po	price	amount	currency	rate	price_usd	amount_usd	kk	qty_sisa
109	BL-HDM0192	ZNYC5I080RH	BLACK	-	5832	PT.YKK INDONESIA	Local	MBL22021	0.3	1727.44	USD	1	0.2962	1727.44	-	5832
110	BL-HDM0192	ZNYC5I085RH	BLACK	-	2861	PT.YKK INDONESIA	Local	MBL22021	0.3	860.02	USD	1	0.3006	860.02	-	2861
111	BL-HDM0192	ZNYC5I090RH	BLACK	-	265	PT.YKK INDONESIA	Local	MBL22021	0.3	80.8	USD	1	0.3049	80.8	-	265
112	BL-HDM0192	ZNYC5I092RH	BLACK	-	459	PT.YKK INDONESIA	Local	MBL22021	0.31	141.92	USD	1	0.3092	141.92	-	459
113	BL-HDM0192	ZNYC5I095RH	BLACK	-	1657	PT.YKK INDONESIA	Local	MBL22021	0.31	512.34	USD	1	0.3092	512.34	-	1657
114	BL-HDM0192	ZNYC5I100RH	BLACK	-	2877	PT.YKK INDONESIA	Local	MBL22021	0.31	901.94	USD	1	0.3135	901.94	-	2877
115	BL-HDM0192	ZNYC5I105RH	BLACK	-	2956	PT.YKK INDONESIA	Local	MBL22021	0.32	939.42	USD	1	0.3178	939.42	-	2956
116	BL-HDM0192	ZNYC5I110RH	BLACK	-	1905	PT.YKK INDONESIA	Local	MBL22021	0.32	613.6	USD	1	0.3221	613.6	-	1905
117	BL-HDM0192	ZNYC5I115RH	BLACK	-	956	PT.YKK INDONESIA	Local	MBL22021	0.33	312.13	USD	1	0.3265	312.13	-	956
118	BL-HDM0192	ZNYC5I120RH	BLACK	-	182	PT.YKK INDONESIA	Local	MBL22021	0.33	60.21	USD	1	0.3308	60.21	-	182
119	BL-HDM0192	ZNYC5I122RH	BLACK	-	459	PT.YKK INDONESIA	Local	MBL22021	0.34	153.81	USD	1	0.3351	153.81	-	459
120	BL-HDM0192	ZNYC5I125RH	BLACK	-	1740	PT.YKK INDONESIA	Local	MBL22021	0.34	583.07	USD	1	0.3351	583.07	-	1740
121	BL-HDM0192	ZNYC5I130RH	BLACK	-	2877	PT.YKK INDONESIA	Local	MBL22021	0.34	976.45	USD	1	0.3394	976.45	-	2877
122	BL-HDM0192	ZNYC5I135RH	BLACK	-	2956	PT.YKK INDONESIA	Local	MBL22021	0.34	1015.98	USD	1	0.3437	1015.98	-	2956
123	BL-HDM0192	ZNYC5I140RH	BLACK	-	1905	PT.YKK INDONESIA	Local	MBL22021	0.35	662.94	USD	1	0.348	662.94	-	1905
124	BL-HDM0192	ZNYC5I145RH	BLACK	-	956	PT.YKK INDONESIA	Local	MBL22021	0.35	336.89	USD	1	0.3524	336.89	-	956
125	BL-HDM0192	ZNYC5I150RH	BLACK	-	182	PT.YKK INDONESIA	Local	MBL22021	0.36	64.92	USD	1	0.3567	64.92	-	182
126	BL-HDM0192	ZNYC5I155RH	BLACK	-	83	PT.YKK INDONESIA	Local	MBL22021	0.36	29.96	USD	1	0.361	29.96	-	83
